date,currency_pair,close_price
2002-10-04,BRLUSD,3.635
2002-10-04,CADUSD,1.5943
2002-10-04,CHFUSD,1.4893
2002-10-04,CNYUSD,8.2774
2002-10-04,DKKUSD,7.564
2002-10-04,EURUSD,1.0182
2002-10-04,GBPUSD,0.6373
2002-10-04,HKDUSD,7.7998
2002-10-04,INRUSD,48.38
2002-10-04,JPYUSD,123.02
2002-10-04,KRWUSD,1232.4
2002-10-04,LKRUSD,96.45
2002-10-04,MXNUSD,10.186
2002-10-04,MYRUSD,3.8
2002-10-04,NOKUSD,7.428
2002-10-04,NZDUSD,2.0903
2002-10-04,SEKUSD,9.258
2002-10-04,SGDUSD,1.7827
2002-10-04,THBUSD,43.53
2002-10-04,TWDUSD,34.99
2002-10-04,ZARUSD,10.433
2002-10-07,AUDUSD,1.8192
2002-10-07,BRLUSD,3.679
2002-10-07,CADUSD,1.5922
2002-10-07,CHFUSD,1.49
2002-10-07,CNYUSD,8.2774
2002-10-07,DKKUSD,7.566
2002-10-07,EURUSD,1.0187
2002-10-07,GBPUSD,0.6393
2002-10-07,HKDUSD,7.7998
2002-10-07,INRUSD,48.35
2002-10-07,JPYUSD,124.44
2002-10-07,KRWUSD,1240.7
2002-10-07,LKRUSD,96.4
2002-10-07,MXNUSD,10.216
2002-10-07,MYRUSD,3.8
2002-10-07,NOKUSD,7.4235
2002-10-07,NZDUSD,2.0644
2002-10-07,SEKUSD,9.275
2002-10-07,SGDUSD,1.7922
2002-10-07,THBUSD,43.87
2002-10-07,TWDUSD,35.06
2002-10-07,ZARUSD,10.524
2002-10-08,AUDUSD,1.8282
2002-10-08,BRLUSD,3.726
2002-10-08,CADUSD,1.5935
2002-10-08,CHFUSD,1.4959
2002-10-08,CNYUSD,8.2774
2002-10-08,DKKUSD,7.582
2002-10-08,EURUSD,1.0208
2002-10-08,GBPUSD,0.6423
2002-10-08,HKDUSD,7.8
2002-10-08,INRUSD,48.39
2002-10-08,JPYUSD,124.26
2002-10-08,KRWUSD,1254.0
2002-10-08,LKRUSD,96.4
2002-10-08,MXNUSD,10.163
2002-10-08,MYRUSD,3.8
2002-10-08,NOKUSD,7.418
2002-10-08,NZDUSD,2.0747
2002-10-08,SEKUSD,9.353
2002-10-08,SGDUSD,1.7885
2002-10-08,THBUSD,43.76
2002-10-08,TWDUSD,35.12
2002-10-08,ZARUSD,10.53
2002-10-09,AUDUSD,1.8232
2002-10-09,BRLUSD,3.8495
2002-10-09,CADUSD,1.5933
2002-10-09,CHFUSD,1.4837
2002-10-09,CNYUSD,8.2772
2002-10-09,DKKUSD,7.5225
2002-10-09,EURUSD,1.0134
2002-10-09,GBPUSD,0.6412
2002-10-09,HKDUSD,7.7998
2002-10-09,INRUSD,48.34
2002-10-09,JPYUSD,123.55
2002-10-09,KRWUSD,1246.5
2002-10-09,LKRUSD,96.4
2002-10-09,MXNUSD,10.2
2002-10-09,MYRUSD,3.8
2002-10-09,NOKUSD,7.406
2002-10-09,NZDUSD,2.0794
2002-10-09,SEKUSD,9.29
2002-10-09,SGDUSD,1.786
2002-10-09,THBUSD,43.68
2002-10-09,TWDUSD,35.11
2002-10-09,ZARUSD,10.48
2002-10-10,AUDUSD,1.8272
2002-10-10,BRLUSD,3.945
2002-10-10,CADUSD,1.5916
2002-10-10,CHFUSD,1.4841
2002-10-10,CNYUSD,8.2771
2002-10-10,DKKUSD,7.5375
2002-10-10,EURUSD,1.0141
2002-10-10,GBPUSD,0.64
2002-10-10,HKDUSD,7.7998
2002-10-10,INRUSD,48.38
2002-10-10,JPYUSD,123.64
2002-10-10,KRWUSD,1257.8
2002-10-10,LKRUSD,96.4
2002-10-10,MXNUSD,10.222
2002-10-10,MYRUSD,3.8
2002-10-10,NOKUSD,7.3895
2002-10-10,NZDUSD,2.0855
2002-10-10,SEKUSD,9.2775
2002-10-10,SGDUSD,1.794
2002-10-10,THBUSD,43.82
2002-10-10,TWDUSD,35.11
2002-10-10,ZARUSD,10.43
2002-10-11,AUDUSD,1.8232
2002-10-11,BRLUSD,3.93
2002-10-11,CADUSD,1.5888
2002-10-11,CHFUSD,1.486
2002-10-11,CNYUSD,8.277
2002-10-11,DKKUSD,7.5395
2002-10-11,EURUSD,1.0148
2002-10-11,GBPUSD,0.6408
2002-10-11,HKDUSD,7.8
2002-10-11,INRUSD,48.36
2002-10-11,JPYUSD,124.04
2002-10-11,KRWUSD,1260.3
2002-10-11,LKRUSD,96.4
2002-10-11,MXNUSD,10.158
2002-10-11,MYRUSD,3.8
2002-10-11,NOKUSD,7.393
2002-10-11,NZDUSD,2.0803
2002-10-11,SEKUSD,9.246
2002-10-11,SGDUSD,1.7935
2002-10-11,THBUSD,43.89
2002-10-11,TWDUSD,35.16
2002-10-11,ZARUSD,10.4475
2002-10-15,AUDUSD,1.8292
2002-10-15,BRLUSD,3.855
2002-10-15,CADUSD,1.5857
2002-10-15,CHFUSD,1.4958
2002-10-15,CNYUSD,8.2768
2002-10-15,DKKUSD,7.575
2002-10-15,EURUSD,1.0194
2002-10-15,GBPUSD,0.6434
2002-10-15,HKDUSD,7.8
2002-10-15,INRUSD,48.36
2002-10-15,JPYUSD,124.66
2002-10-15,KRWUSD,1260.0
2002-10-15,LKRUSD,96.4
2002-10-15,MXNUSD,10.0675
2002-10-15,MYRUSD,3.8
2002-10-15,NOKUSD,7.437
2002-10-15,NZDUSD,2.0855
2002-10-15,SEKUSD,9.241
2002-10-15,SGDUSD,1.8035
2002-10-15,THBUSD,44.19
2002-10-15,TWDUSD,35.15
2002-10-15,ZARUSD,10.445
2002-10-16,AUDUSD,1.8225
2002-10-16,BRLUSD,3.88
2002-10-16,CADUSD,1.584
2002-10-16,CHFUSD,1.4924
2002-10-16,CNYUSD,8.2768
